family	genus	species	host
		Leuconostoc phage P37	19|bacteria
		Leuconostoc phage P54	19|bacteria
		Leuconostoc phage phi 1-A4	19|bacteria
		Leuconostoc phage PZt11-15	19|bacteria
		Listeria phage 20422-1	19|bacteria
		Listeria phage 805405-1	19|bacteria
		Listeria phage LP-083-1	19|bacteria
		Listeria phage U153	19|bacteria
		Loktanella phage pCB2051-A	19|bacteria
		M13HT HaloTag-displaying helper phage	19|bacteria
		Marine phage AC	19|bacteria
		Marine phage EC	19|bacteria
		Marine RNA phage MB	19|bacteria
		Marinomonas phage P12026	19|bacteria
		Methanobacterium phage Drs3	19|bacteria
		Methylophilales phage HIM624-A	19|bacteria
		Methylophilales phage pHIMB624-A	19|bacteria
		Micromonospora phage pMLP1	19|bacteria
		Mycobacterium phage Anubis	19|bacteria
		Mycobacterium phage Ardmore	19|bacteria
		Mycobacterium phage Badfish	19|bacteria
		Mycobacterium phage Cuco	19|bacteria
		Mycobacterium phage FRAT1	19|bacteria
		Mycobacterium phage L1	19|bacteria
		Mycobacterium phage Malithi	19|bacteria
		Mycobacterium phage Ms6	19|bacteria
		Mycobacterium phage Numberten	19|bacteria
		Mycobacterium phage RidgeCB	19|bacteria
		Mycoplasma phage MAV1	19|bacteria
		Mycoplasma phage phiMFV1	19|bacteria
		Nasonia vitripennis secondary endosymbiont phage	19|bacteria
		Neisseria meningitidis phage 2120	19|bacteria
		Nitrincola phage 1M3-16	19|bacteria
		Nitrososphaera phage Pro-Nvie1	19|bacteria
		Nocardia phage NOC1	19|bacteria
		Nocardia phage NOC2	19|bacteria
		Nocardia phage NOC3	19|bacteria
		Novosphingobium phage N-AFCa0615-4	19|bacteria
		Novosphingobium phage N-AFCa0615-5	19|bacteria
		Novosphingobium phage N-AFCa0615-6	19|bacteria
		Novosphingobium phage N-AFCa0628-10	19|bacteria
		Novosphingobium phage N-AFCa0628-12	19|bacteria
		Novosphingobium phage N-AFCa0707-17	19|bacteria
		Novosphingobium phage N-AFCa0707-18	19|bacteria
		Novosphingobium phage N-AFCa0707-83	19|bacteria
		Novosphingobium phage N-AFCa0714-84	19|bacteria
		Novosphingobium phage N-AFCa0802-23	19|bacteria
		Novosphingobium phage N-AFCa0802-24	19|bacteria
		Novosphingobium phage N-AFCa0802-56	19|bacteria
		Novosphingobium phage N-AFCa0802-57	19|bacteria
		Novosphingobium phage N-AFCa0802-85	19|bacteria
		Novosphingobium phage N-AFCa0810-29	19|bacteria
		Novosphingobium phage N-AFCa0810-30	19|bacteria
		Novosphingobium phage N-AFCa0824-34	19|bacteria
		Novosphingobium phage N-AFCa0824-35	19|bacteria
		Novosphingobium phage N-AFCa0824-36	19|bacteria
		Novosphingobium phage N-AFCa0901-41	19|bacteria
		Novosphingobium phage N-AFCa0901-42	19|bacteria
		Novosphingobium phage N-AFCa0901-90	19|bacteria
		Novosphingobium phage N-AFCF0628-8	19|bacteria
		Novosphingobium phage N-AFCF0628-9	19|bacteria
		Novosphingobium phage N-AFCF0707-14	19|bacteria
		Novosphingobium phage N-AFCF0707-15	19|bacteria
		Novosphingobium phage N-AFCF0707-16	19|bacteria
		Novosphingobium phage N-AFCF0714-51	19|bacteria
		Novosphingobium phage N-AFCF0802-21	19|bacteria
		Novosphingobium phage N-AFCF0802-22	19|bacteria
		Novosphingobium phage N-AFCF0810-26	19|bacteria
		Novosphingobium phage N-AFCF0824-32	19|bacteria
		Novosphingobium phage N-AFCF0901-37	19|bacteria
		Novosphingobium phage N-AFCF0901-89	19|bacteria
		Novosphingobium phage N-AFCM0615-3	19|bacteria
		Novosphingobium phage N-AFCM0628-11	19|bacteria
		Novosphingobium phage N-AFCM0714-52	19|bacteria
		Novosphingobium phage N-AFCM0802-86	19|bacteria
		Novosphingobium phage N-AFCM0810-27	19|bacteria
		Novosphingobium phage N-AFCM0810-28	19|bacteria
		Novosphingobium phage N-AFCM0824-33	19|bacteria
		Novosphingobium phage N-AFCM0901-40	19|bacteria
		Novosphingobium phage N-AFCM0901-91	19|bacteria
		Novosphingobium phage N-AFCM0913-47	19|bacteria
		Novosphingobium phage N-AFNF0628-7	19|bacteria
		Novosphingobium phage N-AFNF0707-13	19|bacteria
		Novosphingobium phage N-AFNF0802-19	19|bacteria
		Novosphingobium phage N-AFNF0802-20	19|bacteria
		Novosphingobium phage N-AFNF0810-25	19|bacteria
		Novosphingobium phage N-AFNF0824-31	19|bacteria
		Novosphingobium phage N-AFNF0913-43	19|bacteria
		Novosphingobium phage N-AFNF0922-55	19|bacteria
		Novosphingobium phage N-An-FWCa0913-92	19|bacteria
		Oenococcus phage EGM-2013	19|bacteria
		Oenococcus phage fOg44	19|bacteria
		Oenococcus phage phi9805	19|bacteria
		Oenococcus phage phiS11	19|bacteria
		Oenococcus phage phiS13	19|bacteria
		Paenibacillus phage phiBP	19|bacteria
		Paenibacillus phage phiIBB_Pl23	19|bacteria
		Persicivirga phage P12024L	19|bacteria
		Persicivirga phage P12024S	19|bacteria
		Phage #D	19|bacteria
		Phage 13	19|bacteria
		Phage 16	19|bacteria
		Phage 258-320	19|bacteria
		Phage 3/14	19|bacteria
		Phage CD630P1	19|bacteria
		Phage CD630P1L	19|bacteria
		Phage CD630P2	19|bacteria
		Phage CD630P2L	19|bacteria
		Phage Cz	19|bacteria
		Phage D6E	19|bacteria
		Phage display vector pTDisp	19|bacteria
		Phage display vector pTScDisp	19|bacteria
		Phage E	19|bacteria
		Phage fuse 5	19|bacteria
		Phage Gifsy-1	19|bacteria
		Phage Gifsy-2	19|bacteria
		Phage Gifsy-3	19|bacteria
		Phage GMSE-1	19|bacteria
		Phage h30	19|bacteria
		Phage integrase vector pIPI03	19|bacteria
		Phage LM4	19|bacteria
		Phage N 209	19|bacteria
		Phage NST1	19|bacteria
		Phage phiC2	19|bacteria
		Phage phiC2L	19|bacteria
		Phage phiCD119	19|bacteria
		Phage phiCD119L	19|bacteria
		Phage phiCD27	19|bacteria
		Phage phiCD27L	19|bacteria
		Phage SK137	19|bacteria
		Phage Swp3	19|bacteria
		Phage TS2126	19|bacteria
		Phormidium phage MIS-PhV1A	19|bacteria
		Phormidium phage MIS-PhV1B	19|bacteria
		Prevotella phage phi AR29	19|bacteria
		Prochlorococcus phage P-GSP1	19|bacteria
		Prochlorococcus phage P-RSP2	19|bacteria
		Prochlorococcus phage P-SSP3	19|bacteria
		Prochlorococcus phage Syn1	19|bacteria
		Prochlorococcus phage Syn33	19|bacteria
		Propionibacterium phage Pacnes 2012-15	19|bacteria
		Propionibacterium phage PAS7	19|bacteria
		Propionibacterium phage PAS8	19|bacteria
		Propionibacterium phage PAS9	19|bacteria
		Providencia phage Redjac	19|bacteria
		Pseudoalteromonas phage B8b	19|bacteria
		Pseudoalteromonas phage HM1	19|bacteria
		Pseudoalteromonas phage HP1	19|bacteria
		Pseudoalteromonas phage HS1	19|bacteria
		Pseudoalteromonas phage HS2	19|bacteria
		Pseudoalteromonas phage HS5	19|bacteria
		Pseudoalteromonas phage HS6	19|bacteria
		Pseudoalteromonas phage PSA-HM1	19|bacteria
		Pseudoalteromonas phage PSA-HP1	19|bacteria
		Pseudoalteromonas phage PSA-HS1	19|bacteria
		Pseudoalteromonas phage PSA-HS2	19|bacteria
		Pseudoalteromonas phage PSA-HS4	19|bacteria
		Pseudoalteromonas phage PSA-HS5	19|bacteria
		Pseudoalteromonas phage PSA-HS6	19|bacteria
		Pseudoalteromonas phage PSA-HS9	19|bacteria
		Pseudomonas phage DO4	19|bacteria
		Pseudomonas phage DVM-2008	19|bacteria
		Pseudomonas phage F_ET2439sp/ET602	19|bacteria
		Pseudomonas phage F_ET2439sp/Pa1651	19|bacteria
		Pseudomonas phage F_ET309sp/Pa1651	19|bacteria
		Pseudomonas phage F_ET605sp/Pa1651	19|bacteria
		Pseudomonas phage F_HA1208sp/Pa1651	19|bacteria
		Pseudomonas phage F_HA1961sp/Pa1641	19|bacteria
		Pseudomonas phage F_KK2074sp/Pa1651	19|bacteria
		Pseudomonas phage F_MX1987sp/MX560	19|bacteria
		Pseudomonas phage F_MX560sp/Pa1651	19|bacteria
		Pseudomonas phage F_TK1718sp/PAK	19|bacteria
		Pseudomonas phage F_TK1727sp/MX560	19|bacteria
		Pseudomonas phage F_TK1932sp/Pa1651	19|bacteria
		Pseudomonas phage F_TK432sp/Pa1651	19|bacteria
		Pseudomonas phage H66	19|bacteria
		Pseudomonas phage JBD23	19|bacteria
		Pseudomonas phage JBD58a	19|bacteria
		Pseudomonas phage JBD68	19|bacteria
		Pseudomonas phage JBD88b	19|bacteria
		Pseudomonas phage JBD90	19|bacteria
		Pseudomonas phage JBD94b	19|bacteria
		Pseudomonas phage JBDs5	19|bacteria
		Pseudomonas phage MBL	19|bacteria
		Pseudomonas phage NBRC 20024	19|bacteria
		Pseudomonas phage P134	19|bacteria
		Pseudomonas phage PA11	19|bacteria
		Pseudomonas phage PA16	19|bacteria
		Pseudomonas phage PA7	19|bacteria
		Pseudomonas phage PAN70	19|bacteria
		Pseudomonas phage PBSPCA1	19|bacteria
		Pseudomonas phage PEV31	19|bacteria
		Pseudomonas phage PEV32	19|bacteria
		Pseudomonas phage Phi05_1400 B	19|bacteria
		Pseudomonas phage phi2	19|bacteria
		Pseudomonas phage phiPto-bp6g	19|bacteria
		Pseudomonas phage PPA5	19|bacteria
		Pseudomonas phage S	19|bacteria
		Pseudomonas phage vB_PaeP_Tr60_Ab31	19|bacteria
		Ralstonia phage P4282	19|bacteria
		Rhizobium phage phiU	19|bacteria
		Rhizobium phage RHEph03	19|bacteria
		Rhizobium phage RHEph08	19|bacteria
		Rhizobium phage RHEph09	19|bacteria
		Rhizobium phage RHEph10	19|bacteria
		Rhodobacter phage RcapNL	19|bacteria
		Rhodobacter phage RcNL1	19|bacteria
		Rhodococcus phage REQ2	19|bacteria
		Rhodococcus phage REQ3	19|bacteria
		Rhodovulum phage RS1	19|bacteria
		Salicola phage CGphi29	19|bacteria
		Salisaeta icosahedral phage 1	19|bacteria
		Salmonella phage A1	19|bacteria
		Salmonella phage A10a	19|bacteria
		Salmonella phage A18a	19|bacteria
		Salmonella phage Fels-1	19|bacteria
		Salmonella phage FSL SP-016	19|bacteria
		Salmonella phage FSL SP-126	19|bacteria
		Salmonella phage KK-2013	19|bacteria
		Salmonella phage SBA-1781	19|bacteria
		Salmonella phage SPT-1	19|bacteria
		Salmonella phage ST4	19|bacteria
		Salmonella phage ST64B	19|bacteria
		Salmonella phage STML-13-1	19|bacteria
		Salmonella phage WOLAM	19|bacteria
		Satellite phage RS1	19|bacteria
		Selenomonas phage M1	19|bacteria
		Silicibacter phage DSS3-P1	19|bacteria
		Sinorhizobium phage PBC5	19|bacteria
		Sodalis phage phiSG1	19|bacteria
		Spalangia cameroni secondary endosymbiont phage	19|bacteria
		Sphingomonas phage S-AFCa0824-71	19|bacteria
		Sphingomonas phage S-AFCa0901-72	19|bacteria
		Sphingomonas phage S-AFCF0802-69	19|bacteria
		Sphingomonas phage S-AFNF0615-61	19|bacteria
		Sphingomonas phage S-AFNF0810-70	19|bacteria
		Staphylococcus phage 001	19|bacteria
		Staphylococcus phage 002	19|bacteria
		Staphylococcus phage 003	19|bacteria
		Staphylococcus phage 004	19|bacteria
		Staphylococcus phage 005	19|bacteria
		Staphylococcus phage 006	19|bacteria
		Staphylococcus phage phi-42	19|bacteria
		Staphylococcus phage Phi05_1554 UV	19|bacteria
		Staphylococcus phage Phi05_2289 M, S, UV	19|bacteria
		Staphylococcus phage Phi06_2986 B	19|bacteria
		Staphylococcus phage Phi06_3106 B	19|bacteria
		Staphylococcus phage Phi06_3244 B	19|bacteria
		Staphylococcus phage phi11	19|bacteria
		Staphylococcus phage phi2958PVL	19|bacteria
		Staphylococcus phage phi6390	19|bacteria
		Staphylococcus phage phiB122	19|bacteria
		Staphylococcus phage phiB557	19|bacteria
		Staphylococcus phage phiH5	19|bacteria
		Staphylococcus phage phiIBB-SEP1	19|bacteria
		Staphylococcus phage phiPVL-CN125	19|bacteria
		Staphylococcus phage phiSaST5K	19|bacteria
		Staphylococcus phage phiWMY	19|bacteria
		Staphylococcus phage PT1028	19|bacteria
		Staphylococcus phage ROSA	19|bacteria
		Staphylococcus phage SA11	19|bacteria
		Staphylococcus phage SA4	19|bacteria
		Staphylococcus phage SAP090B	19|bacteria
		Staphylococcus phage SAP090D	19|bacteria
		Staphylococcus phage tp310-1	19|bacteria
		Staphylococcus phage tp310-3	19|bacteria
		Stenotrophomonas phage phiSMA9	19|bacteria
		Streptococcus phage 040922	19|bacteria
		Streptococcus phage 1027 PZ-2009	19|bacteria
		Streptococcus phage 1032 PZ-2009	19|bacteria
		Streptococcus phage 1033 PZ-2009	19|bacteria
		Streptococcus phage 1034 PZ-2009	19|bacteria
		Streptococcus phage 1036 PZ-2009	19|bacteria
		Streptococcus phage 1040 PZ-2009	19|bacteria
		Streptococcus phage 1041 PZ-2009	19|bacteria
		Streptococcus phage 1042 PZ-2009	19|bacteria
		Streptococcus phage 11865	19|bacteria
		Streptococcus phage 20617	19|bacteria
		Streptococcus phage 2096.1	19|bacteria
		Streptococcus phage 2096.2	19|bacteria
		Streptococcus phage 2167	19|bacteria
		Streptococcus phage 23782	19|bacteria
		Streptococcus phage 34117	19|bacteria
		Streptococcus phage 370.1	19|bacteria
		Streptococcus phage 370.2	19|bacteria
		Streptococcus phage 370.3	19|bacteria
		Streptococcus phage 370.4	19|bacteria
		Streptococcus phage 574 PZ-2009	19|bacteria
		Streptococcus phage 575 PZ-2009	19|bacteria
		Streptococcus phage 576 PZ-2009	19|bacteria
		Streptococcus phage 591 PZ-2009	19|bacteria
		Streptococcus phage 596 PZ-2009	19|bacteria
		Streptococcus phage 603 PZ-2009	19|bacteria
		Streptococcus phage 604 PZ-2009	19|bacteria
		Streptococcus phage 605 PZ-2009	19|bacteria
		Streptococcus phage 611 PZ-2009	19|bacteria
		Streptococcus phage 616 PZ-2009	19|bacteria
		Streptococcus phage 620 PZ-2009	19|bacteria
		Streptococcus phage 641 PZ-2009	19|bacteria
		Streptococcus phage 654 PZ-2009	19|bacteria
		Streptococcus phage 671 PZ-2009	19|bacteria
		Streptococcus phage 700P1	19|bacteria
		Streptococcus phage 8140	19|bacteria
		Streptococcus phage B30	19|bacteria
		Streptococcus phage DCC1738	19|bacteria
		Streptococcus phage IC1	19|bacteria
		Streptococcus phage K13	19|bacteria
		Streptococcus phage NZ131.1	19|bacteria
		Streptococcus phage NZ131.2	19|bacteria
		Streptococcus phage NZ131.3	19|bacteria
		Streptococcus phage phi-m46.1	19|bacteria
		Streptococcus phage phi-m46.2	19|bacteria
		Streptococcus phage phi-SsUD.1	19|bacteria
		Streptococcus phage phi1207.3	19|bacteria
		Streptococcus phage phi20c	19|bacteria
		Streptococcus phage phi30c	19|bacteria
		Streptococcus phage phi5218	19|bacteria
		Streptococcus phage phi7917	19|bacteria
		Streptococcus phage phi891591	19|bacteria
		Streptococcus phage phiBHN167	19|bacteria
		Streptococcus phage phiD12	19|bacteria
		Streptococcus phage phiS10	19|bacteria
		Streptococcus phage phisc1	19|bacteria
		Streptococcus phage PhiSpn_200	19|bacteria
		Streptococcus phage phiSS12	19|bacteria
		Streptococcus phage phiST1	19|bacteria
		Streptococcus phage SOCP	19|bacteria
		Streptococcus phage Spn1	19|bacteria
		Streptococcus phage Str-PAP-1	19|bacteria
		Streptococcus phage T12	19|bacteria
		Streptococcus phage T270	19|bacteria
		Streptococcus phage V22	19|bacteria
		Streptococcus phi-m46.1-like phage MB56Spyo045	19|bacteria
		Streptococcus pyogenes MGAS10270 phage	19|bacteria
		Streptococcus pyogenes MGAS10750 phage	19|bacteria
		Streptococcus pyogenes MGAS9429 phage	19|bacteria
		Streptococcus pyogenes phage	19|bacteria
		Streptococcus pyogenes phage 315.1	19|bacteria
		Streptococcus pyogenes phage 315.2	19|bacteria
		Streptococcus pyogenes phage 315.3	19|bacteria
		Streptococcus pyogenes phage 315.4	19|bacteria
		Streptococcus pyogenes phage 315.5	19|bacteria
		Streptococcus pyogenes phage 315.6	19|bacteria
		Streptococcus pyogenes phage 5005.1	19|bacteria
		Streptococcus pyogenes phage 5005.2	19|bacteria
		Streptococcus pyogenes phage 5005.3	19|bacteria
		Streptococcus pyogenes phage 6180.2	19|bacteria
		Streptococcus pyogenes phage 6180.3	19|bacteria
		Streptococcus pyogenes phage 6180.4	19|bacteria
		Streptococcus pyogenes phage H10403	19|bacteria
		Streptococcus pyogenes phage H4489A	19|bacteria
		Streptococcus pyogenes phage phiRamid	19|bacteria
		Streptomyces phage phiK38-1	19|bacteria
		Sulfitobacter phage NYA-2014a	19|bacteria
		Sulfitobacter phage pCB2047-A	19|bacteria
		Sulfitobacter phage pCB2047-C	19|bacteria
		Synechococcus phage 27A	19|bacteria
		Synechococcus phage 31B	19|bacteria
		Synechococcus phage 32A	19|bacteria
		Synechococcus phage 44A	19|bacteria
		Synechococcus phage P12	19|bacteria
		Synechococcus phage P17	19|bacteria
		Synechococcus phage P6	19|bacteria
		Synechococcus phage P77	19|bacteria
		Synechococcus phage P79	19|bacteria
		Synechococcus phage P81	19|bacteria
		Synechococcus phage S	19|bacteria
		Synechococcus phage S-CBP2	19|bacteria
		Synechococcus phage S-CBP3	19|bacteria
		Synechococcus phage S-EIVl	19|bacteria
		Synechococcus phage SPGM99-02	19|bacteria
		Synechococcus phage SPGM99-03	19|bacteria
		Synechococcus phage SPGM99-04	19|bacteria
		Synechococcus phage SPGM99-07	19|bacteria
		Synechococcus phage SPGM99-08	19|bacteria
		Synechococcus phage SPGM99-10	19|bacteria
		Synechococcus phage SPGM99-11	19|bacteria
		Synechococcus phage SPGM99-12	19|bacteria
		Synechococcus phage SPGM99-14	19|bacteria
		Synechococcus phage SPGM99-15	19|bacteria
		Synechococcus phage SPGM99-16	19|bacteria
		Synechococcus phage SPGM99-19	19|bacteria
		Synechococcus phage SPGM99-20	19|bacteria
		Synechococcus phage SPGM99-21	19|bacteria
		Synechococcus phage SPGM99-24	19|bacteria
		Synechococcus phage SPGM99-27	19|bacteria
		Synechococcus phage SPGM99-28	19|bacteria
		Synechococcus phage SPGM99-29	19|bacteria
		Synechococcus phage SPGM99-30	19|bacteria
		Synechococcus phage SPGM99-31	19|bacteria
		Synechococcus phage SPGM99-39	19|bacteria
		synthetic Enterobacteria phage phiX174.1f	19|bacteria
		Tetrasphaera phage TJE1	19|bacteria
		Thermus phage 2119	19|bacteria
		Thermus phage 2631	19|bacteria
		Thermus phage G18	19|bacteria
		Thermus phage G20c	19|bacteria
		Thermus phage IN93	19|bacteria
		Thermus phage P23-77	19|bacteria
		Thermus phage phi OH2	19|bacteria
		Thermus phage phiFa	19|bacteria
		Thermus phage T72	19|bacteria
		Thermus phage TSP4	19|bacteria
		Treponema phage phi td1	19|bacteria
		Trialeurodes vaporariorum secondary endosymbiont phage	19|bacteria
		Type 3 trypsin release phage display vector f3TR1	19|bacteria
		Type 88 trypsin release phage display vector f88TR1	19|bacteria
		uncultured aquatic phage	19|bacteria
		uncultured marine phage	19|bacteria
		uncultured Mediterranean phage MEDS1 group	19|bacteria
		uncultured Mediterranean phage MEDS2 group	19|bacteria
		uncultured Mediterranean phage MEDS3 group	19|bacteria
		uncultured Mediterranean phage MEDS5 group	19|bacteria
		uncultured Mediterranean phage uvMED	19|bacteria
		uncultured phage	19|bacteria
		uncultured phage crAssphage	19|bacteria
		uncultured phage MedDCM-OCT-S01-C1	19|bacteria
		uncultured phage MedDCM-OCT-S01-C104	19|bacteria
		uncultured phage MedDCM-OCT-S01-C29	19|bacteria
		uncultured phage MedDCM-OCT-S01-C58	19|bacteria
		uncultured phage MedDCM-OCT-S04-C1035	19|bacteria
		uncultured phage MedDCM-OCT-S04-C1161	19|bacteria
		uncultured phage MedDCM-OCT-S04-C1201	19|bacteria
		uncultured phage MedDCM-OCT-S04-C1220	19|bacteria
		uncultured phage MedDCM-OCT-S04-C1227	19|bacteria
		uncultured phage MedDCM-OCT-S04-C136	19|bacteria
		uncultured phage MedDCM-OCT-S04-C148	19|bacteria
		uncultured phage MedDCM-OCT-S04-C231	19|bacteria
		uncultured phage MedDCM-OCT-S04-C24	19|bacteria
		uncultured phage MedDCM-OCT-S04-C26	19|bacteria
		uncultured phage MedDCM-OCT-S04-C348	19|bacteria
		uncultured phage MedDCM-OCT-S04-C491	19|bacteria
		uncultured phage MedDCM-OCT-S04-C507	19|bacteria
		uncultured phage MedDCM-OCT-S04-C64	19|bacteria
		uncultured phage MedDCM-OCT-S04-C650	19|bacteria
		uncultured phage MedDCM-OCT-S04-C695	19|bacteria
		uncultured phage MedDCM-OCT-S04-C714	19|bacteria
		uncultured phage MedDCM-OCT-S04-C846	19|bacteria
		uncultured phage MedDCM-OCT-S04-C890	19|bacteria
		uncultured phage MedDCM-OCT-S04-C93	19|bacteria
		uncultured phage MedDCM-OCT-S05-C113	19|bacteria
		uncultured phage MedDCM-OCT-S05-C139	19|bacteria
		uncultured phage MedDCM-OCT-S05-C22	19|bacteria
		uncultured phage MedDCM-OCT-S05-C243	19|bacteria
		uncultured phage MedDCM-OCT-S05-C353	19|bacteria
		uncultured phage MedDCM-OCT-S05-C36	19|bacteria
		uncultured phage MedDCM-OCT-S05-C429	19|bacteria
		uncultured phage MedDCM-OCT-S05-C532	19|bacteria
		uncultured phage MedDCM-OCT-S05-C64	19|bacteria
		uncultured phage MedDCM-OCT-S05-C767	19|bacteria
		uncultured phage MedDCM-OCT-S05-C849	19|bacteria
		uncultured phage MedDCM-OCT-S06-C1041	19|bacteria
		uncultured phage MedDCM-OCT-S08-C1115	19|bacteria
		uncultured phage MedDCM-OCT-S08-C1281	19|bacteria
		uncultured phage MedDCM-OCT-S08-C1441	19|bacteria
		uncultured phage MedDCM-OCT-S08-C151	19|bacteria
		uncultured phage MedDCM-OCT-S08-C159	19|bacteria
		uncultured phage MedDCM-OCT-S08-C1615	19|bacteria
		uncultured phage MedDCM-OCT-S08-C1731	19|bacteria
		uncultured phage MedDCM-OCT-S08-C232	19|bacteria
		uncultured phage MedDCM-OCT-S08-C233	19|bacteria
		uncultured phage MedDCM-OCT-S08-C239	19|bacteria
		uncultured phage MedDCM-OCT-S08-C304	19|bacteria
		uncultured phage MedDCM-OCT-S08-C41	19|bacteria
		uncultured phage MedDCM-OCT-S08-C495	19|bacteria
		uncultured phage MedDCM-OCT-S08-C582	19|bacteria
		uncultured phage MedDCM-OCT-S08-C620	19|bacteria
		uncultured phage MedDCM-OCT-S08-C964	19|bacteria
		uncultured phage MedDCM-OCT-S09-C14	19|bacteria
		uncultured phage MedDCM-OCT-S09-C23	19|bacteria
		uncultured phage MedDCM-OCT-S09-C28	19|bacteria
		uncultured phage MedDCM-OCT-S09-C299	19|bacteria
		uncultured phage MedDCM-OCT-S09-C37	19|bacteria
		uncultured phage MedDCM-OCT-S09-C399	19|bacteria
		uncultured phage MedDCM-OCT-S09-C5	19|bacteria
		uncultured phage MedDCM-OCT-S09-C7	19|bacteria
		uncultured phage MedDCM-OCT-S11-C149	19|bacteria
		uncultured phage MedDCM-OCT-S11-C178	19|bacteria
		uncultured phage MedDCM-OCT-S11-C1836	19|bacteria
		uncultured phage MedDCM-OCT-S11-C349	19|bacteria
		uncultured phage MedDCM-OCT-S11-C561	19|bacteria
		uncultured phage MedDCM-OCT-S12-C102	19|bacteria
		uncultured phage MedDCM-OCT-S12-C473	19|bacteria
		uncultured phage MedDCM-OCT-S12-C496	19|bacteria
		uncultured phage MedDCM-OCT-S12-C97	19|bacteria
		uncultured Synechococcus phage	19|bacteria
		unidentified phage	19|bacteria
		VCSM13 AviTag-pVII modified interference-resistant helper phage	19|bacteria
		VCSM13 FLAG-pVII modified interference-resistant helper phage	19|bacteria
		VCSM13 HIS6-pVII modified interference-resistant helper phage	19|bacteria
		VCSM13 interference-resistant helper phage	19|bacteria
		Vibrio cholerae V86 phage	19|bacteria
		Vibrio phage 1032	19|bacteria
		Vibrio phage 4e	19|bacteria
		Vibrio phage 512	19|bacteria
		Vibrio phage 5312	19|bacteria
		Vibrio phage 5486	19|bacteria
		Vibrio phage 5e	19|bacteria
		Vibrio phage 6e	19|bacteria
		Vibrio phage AS51	19|bacteria
		Vibrio phage CL40	19|bacteria
		Vibrio phage douglas 12A4	19|bacteria
		Vibrio phage eugene 12A10	19|bacteria
		Vibrio phage f237	19|bacteria
		Vibrio phage helene 12B3	19|bacteria
		Vibrio phage henriette 12B8	19|bacteria
		Vibrio phage HybRS-Knphi	19|bacteria
		Vibrio phage ICP3_2009_A	19|bacteria
		Vibrio phage jenny 12G5	19|bacteria
		Vibrio phage KA-2007	19|bacteria
		Vibrio phage martha 12B12	19|bacteria
		Vibrio phage phiMOD2.33-NB	19|bacteria
		Vibrio phage phiMOD4.00-MOD2	19|bacteria
		Vibrio phage phiMOD4.00-OM	19|bacteria
		Vibrio phage phiMOD5.14-OM	19|bacteria
		Vibrio phage phiMOD5.18-NB	19|bacteria
		Vibrio phage phiNB9-OM	19|bacteria
		Vibrio phage phiST4-ST	19|bacteria
		Vibrio phage PWH3a-P1	19|bacteria
		Vibrio phage pYD21-A	19|bacteria
		Vibrio phage pYD38-A	19|bacteria
		Vibrio phage qdvp001	19|bacteria
		Vibrio phage SB-2014a	19|bacteria
		Vibrio phage TLC-Kn1	19|bacteria
		Vibrio phage VBM1	19|bacteria
		Vibrio phage VBpm10	19|bacteria
		Vibrio phage VD1	19|bacteria
		Vibrio phage VH-P22	19|bacteria
		Vibrio phage VP_EVC_2013	19|bacteria
		Vibrio phage VPp1	19|bacteria
		Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA1	19|bacteria
		Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA2	19|bacteria
		Wolbachia endosymbiont wVitA of Nasonia vitripennis phage WOVitA4	19|bacteria
		Wolbachia endosymbiont wVitB of Nasonia vitripennis phage WOVitB	19|bacteria
		Wolbachia phage RCS-2010	19|bacteria
		Wolbachia phage WO	19|bacteria
		Wolbachia phage WOcauB1	19|bacteria
		Xanthomonas phage XacF1	19|bacteria
		Xanthomonas phage Xo411	19|bacteria
		Xanthomonas phage Xp15	19|bacteria
